ncode,point,url
N2680EN,0,https://ncode.syosetu.com/n2680en
N9858CO,0,https://ncode.syosetu.com/n9858co
N5600ED,0,https://ncode.syosetu.com/n5600ed
N3687DD,1,https://ncode.syosetu.com/n3687dd
N9353CG,1,https://ncode.syosetu.com/n9353cg
N0068DT,2,https://ncode.syosetu.com/n0068dt
N8375DJ,1,https://ncode.syosetu.com/n8375dj
N8924CG,0,https://ncode.syosetu.com/n8924cg
N4201BK,0,https://ncode.syosetu.com/n4201bk
N0744BF,1,https://ncode.syosetu.com/n0744bf
N1361FM,0,https://ncode.syosetu.com/n1361fm
N7788FP,1,https://ncode.syosetu.com/n7788fp
N9058FO,1,https://ncode.syosetu.com/n9058fo
N2098FQ,1,https://ncode.syosetu.com/n2098fq
N9494FO,0,https://ncode.syosetu.com/n9494fo
N1078FQ,0,https://ncode.syosetu.com/n1078fq
N0968DZ,2,https://ncode.syosetu.com/n0968dz
N7085FM,1,https://ncode.syosetu.com/n7085fm
N5308FN,0,https://ncode.syosetu.com/n5308fn
N8891FL,1,https://ncode.syosetu.com/n8891fl
N4288FN,0,https://ncode.syosetu.com/n4288fn
N0627FN,0,https://ncode.syosetu.com/n0627fn
N0003FO,1,https://ncode.syosetu.com/n0003fo
N4669FO,0,https://ncode.syosetu.com/n4669fo
N0170FO,1,https://ncode.syosetu.com/n0170fo
N7084FI,0,https://ncode.syosetu.com/n7084fi
N4641FO,0,https://ncode.syosetu.com/n4641fo
N4469FI,1,https://ncode.syosetu.com/n4469fi
N0773EY,2,https://ncode.syosetu.com/n0773ey
N1230EI,2,https://ncode.syosetu.com/n1230ei
N5103CJ,2,https://ncode.syosetu.com/n5103cj
N4764DU,2,https://ncode.syosetu.com/n4764du
N7975CR,1,https://ncode.syosetu.com/n7975cr
N7551BN,1,https://ncode.syosetu.com/n7551bn
N5240BC,2,https://ncode.syosetu.com/n5240bc
N4830BU,2,https://ncode.syosetu.com/n4830bu
N5577ES,2,https://ncode.syosetu.com/n5577es
N1576CU,2,https://ncode.syosetu.com/n1576cu
N9595EZ,2,https://ncode.syosetu.com/n9595ez
N9040EB,2,https://ncode.syosetu.com/n9040eb
N6621FL,2,https://ncode.syosetu.com/n6621fl
N8016DG,2,https://ncode.syosetu.com/n8016dg
N9073CA,2,https://ncode.syosetu.com/n9073ca

